ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),Swap Space,Idle Memory,Buffer,Cache,Swap In,Swap Out,blocks in,blocks out,Interrupts per second,Context Switches per second,User CPU time,System CPU time,avg latency
0.86,2.599,19.049,20627.456,268.374,1.25,294.96,13.57,929448,603171.33,5148.67,241159.33,1077.17,22179.33,27904.83,22349.17,6165.17,8346.17,27.17,59,0.27
1.14,2.365,4.539,17588.224,354.686,0.83,552.967,9.92,890670.67,4688410.67,11040,412638.67,77.5,218.83,157.33,322,4334.5,8308.17,46.33,39.5,0.27
1.01,1.628,6.363,30344.192,365.256,0.81,470.177,13.16,885321.33,4330522.67,12002.67,430378.67,740.83,219,961,332.33,3192.67,5774.17,36.67,49.67,0.27
1.23,2.303,3.994,838.753,456.065,0.7,709.134,8.54,708720,5037973.33,25306.67,647998.67,10.67,55,30.17,246.67,4033.67,8205.5,46.83,37.5,0.26
0.88,2.406,16.176,22668.288,294.519,0.95,322.898,13.83,931850,645720.67,5638,265772,1884.67,28363.83,20526.5,28518.17,5626,8695,28.17,56.5,0.26
1.12,2.095,5.533,13031.424,309.338,0.78,534.996,9.71,938174.67,3762618.67,11535.33,389293.33,933.33,66.33,980.33,202,4056.67,7401.5,35.5,48.67,0.26
1.15,2.538,4.747,15933.44,359.421,0.97,513.142,9.13,991344,6131224.67,9353.33,378976,5212.33,88.17,7521,237.17,5162.83,9347.5,56,29,0.26
1.21,2.076,4.913,25860.096,358.435,0.58,554.202,7.72,1520104.67,4591795.33,10978.67,440972,937.33,75668.67,1015.17,75841.17,3779.33,7175.83,34.33,50,0.26
1.1,23.342,2.956,39514.112,242.753,0.89,652.28,7.15,905900,1617836,13809.33,446304.67,55.33,107.17,139.67,347,8544.67,70774.5,42.5,40.33,0.26
0.76,13.67,7.309,42438.656,245.134,0.99,280.589,16.71,927796,4008152.67,8407.33,381434,541.83,157,16318.5,305.67,21417.33,53823.17,22.83,60,0.26
0.8,12.418,7.531,31582.208,221.041,1.19,277.297,15.11,859656,1759945.33,9504.67,358629.33,63.83,316.33,137.67,442.17,16058.33,36848.83,33,52.83,0.26
0.95,2.285,21.31,10955.776,315.299,0.9,349.574,14.19,1007900.67,2304578.67,13355.33,457448.67,52.83,66718.17,142.17,66957.33,5626.67,8095.67,37.33,48.67,0.26
0.91,2.306,18.427,20675.584,306.126,1.24,336.672,12.91,935452,439062.67,6609.33,251947.33,613.83,43010.17,29147.83,43158,6139.5,7864.5,26.17,60,0.26
0.91,20.492,4.162,18769.92,221.404,0.94,383.823,10.07,858500,4850332,7604,420621.33,52.83,213.33,113.67,382.5,28994.33,68119.33,17.17,67.67,0.26
0.98,1.7,4.536,29977.6,391.557,0.76,414.547,15.28,884340,4175264,13108,433364.67,50.17,218.83,80.33,360.67,3309.67,5965.83,36.17,50,0.26
0.98,1.791,4.539,28391.424,390.342,0.82,418.258,14.61,864656,4695262.67,7256,410524,67.5,226,110.33,376.67,3488.17,6494.33,40.17,46.5,0.26
0.9,2.13,13.966,30479.36,308.751,0.95,338.916,14.61,974104.67,1046251.33,7156.67,353382,346.33,31270.5,13762.67,31435.67,5366.83,7500.83,34,52.5,0.26
1.11,1.973,9.494,18533.376,413.416,0.57,504.194,11.03,944702,6073060.67,9172,381102,381.67,9644.67,1403.67,9821.67,3643.33,6533.5,27.17,56,0.25
0.84,3.132,15.026,13150.208,292.658,0.79,316.692,14.43,1356100,389043.33,5388.67,274510.67,6928.83,132150,24291.33,132278.33,11157,9289.33,11.83,72,0.25
1.11,2.104,5.494,20242.432,420.588,0.7,503.425,11.68,939044,5245892,10289.33,402554.67,129.33,74.67,175.17,219.83,3950.83,7297.33,39.5,44.67,0.25
0.92,1.929,9.24,33885.184,359.848,0.81,378.328,15.72,916756,4237544.67,12249.33,415711.33,24.67,79.5,36.5,241.17,3790.33,6677.83,34.67,50,0.25
1.48,2.08,7.12,10255.36,452.416,0.66,865.751,5.46,947794.67,4696672,10096,389651.33,73.5,116,116.67,224.33,3376.67,6920,60.17,25.33,0.25
1.18,2.579,4.277,24159.232,353.272,0.87,511.64,9.18,960729.33,4682512.67,10910.67,420847.33,1505.17,131.5,1915.5,276,4936.67,8756.67,57,28.67,0.25
0.75,3.425,7.773,1967.104,234.892,1.29,272.535,14.63,1057136,6457962,6292.67,319299.33,14029.33,162.83,32196.5,290,7672,13438.17,50.33,34.67,0.25
1.46,3.029,5.661,1477.632,403.179,0.54,784.295,5.91,939828,4970875.33,10334,440589.33,9101.17,154.17,11481.17,360.67,6424.17,10787,46.33,39,0.25
0.88,14.995,11.614,15604.736,278.907,1.07,325.429,12.2,1421735.33,3317270.67,7484.67,357519.33,65.17,127414.17,127.17,127563.33,14284.33,46948.67,33.17,52.83,0.25
1.06,2.108,12.657,17146.88,345.745,0.62,377.933,11.94,1087838,5697669.33,10002.67,404120,729,65713.5,1066.33,65872.67,5538.17,7599.5,24.17,60.17,0.25
1.06,2.279,16.102,10050.56,346.418,0.81,426.531,10.42,1184281.33,4895688.67,10465.33,382094.67,41.67,124261.67,925.33,124446.83,5354.5,8191.5,38.5,47.5,0.25
0.81,2.04,4.823,727.526,281.499,1.02,303.575,15.36,990929.33,6421499.33,6520.67,402056.67,1092.33,222.83,15343.5,365.33,4144.17,8078.17,52.67,33.67,0.25
0.89,1.927,4.995,35068.928,344.375,0.75,350.916,16.63,903527.33,5125518.67,12829.33,395766,27.33,67.83,55.67,212.83,3570,6653,29.17,54.67,0.24
1.13,1.784,4.283,17312.768,353.309,0.95,506.461,8.97,1030301.33,6142085.33,8600,379883.33,215,123.67,931.5,266.17,3162,6128,60,25.5,0.24
1.15,2.083,9.896,7972.864,302.068,0.93,427.996,8.61,1335515.33,5242568,9974,403320,615.83,77651.17,972.83,77818.33,4694.33,6857.5,50.67,34.83,0.24
0.79,12.25,3.577,37990.4,225.861,1.26,274.365,15.97,957956,4755056.67,12650.67,428410,59.83,131.17,95.67,281.67,17321.17,42369.33,38.5,46.5,0.24
1.18,2.051,6.036,27563.008,306.327,0.69,678.091,8.19,923332.67,2144661.33,13339.33,429884.67,55.83,149.5,112.33,436.17,4110.17,7277,37.33,48,0.24
1.03,1.909,18.134,2207.744,316.474,0.88,375.932,9.99,1504314,3839956.67,20053.33,1014881.33,74.83,185584.83,344.67,185934.67,5021,6306.33,34.5,50.67,0.24
1.2,2.098,9.532,7186.432,357.712,0.82,573.677,8.25,976868,5635504.67,9789.33,376227.33,1166.83,11329.83,2721.83,11501.67,5239.83,8409,43.5,41.67,0.24
0.84,3.394,23.521,11677.696,263.748,1.43,310.249,12.28,954143.33,864864.67,5525.33,269470,14544.83,45686,50162.67,45777.83,8442.33,11045.67,20.17,64.5,0.24
1.01,1.986,10.773,27837.44,298.594,0.94,426.342,12.11,889781.33,4164594,11434.67,457387.33,175,194.5,470.17,373,2978.83,7191.17,47,39.17,0.24
0.94,1.862,4.745,36247.552,343.577,0.91,368.414,15.74,883044,5079204.67,12141.33,464201.33,225.67,195.5,274.83,370.67,3241,6466.83,45.33,41,0.24
0.78,17.245,4.121,30758.912,202.855,1.27,307.611,13.92,882608,4473191.33,12049.33,451230.67,76.83,199.83,139.17,361.67,23570.67,54929.67,26.17,59.17,0.24
0.96,2.17,3.747,28551.168,371.656,0.85,402.799,15.24,873900,4241366.67,12358.67,451859.33,102.17,201,167,293.5,4427.67,8658.17,39.5,46.5,0.24
0.79,2.399,7.118,1162.24,309.266,0.98,327.406,15.65,928397.33,6424916,8378.67,353887.33,512.17,234.33,10245.67,366.83,3925.17,7508.33,47.33,38.5,0.24
0.88,2.742,19.453,10038.272,280.782,1.25,318.929,12.85,972832.67,195504,4956,245234.67,16454.83,43568.5,37699.83,43740.33,7046.67,8600.17,25.67,60.17,0.24
0.96,2.41,19.607,10221.568,313.522,0.88,344.522,13.07,1081168,3715128,6902.67,413224.67,82.83,93556.83,113.67,93689.33,5781.67,8322.83,35,51.33,0.24
1.14,1.845,5.475,14180.352,389.274,0.62,593.318,10,910628,4109693.33,11085.33,416800.67,45.67,59.5,76.17,239,3515.83,6773.67,29.33,54,0.23
0.99,1.684,4.621,33796.096,353.854,0.79,487.959,12.5,933609.33,3674035.33,12166.67,390677.33,52,66.33,63,212,3231.5,5791.83,35.17,49.33,0.23
0.87,2.477,24.014,16401.408,298.922,1.27,322.839,12.82,1047699.33,237500.67,6068,250965.33,800,78983.17,27791.83,79156.83,7172.17,8683,16.5,67.83,0.23
1.09,2.307,11.908,9735.168,405.031,0.86,437.25,11.68,1024395.33,6184063.33,9457.33,392168.67,2839.67,21929,4940.67,22101.5,4947.33,8114.17,42,42.67,0.23
1.32,2.217,6.235,7439.36,357.974,0.57,602.21,6.67,1040657.33,5100548,10317.33,426476.67,70,70231.83,125.67,70376.17,4754.67,7523.83,44.17,40.17,0.23
1.23,1.72,3.448,16169.984,308.713,1.06,625.268,7.58,959193.33,3497530.67,11552,426529.33,47.17,131.33,125.17,417.17,3195.17,5979.83,60.5,25.17,0.23
0.89,15.978,5.243,28158.976,283.027,1.1,350.742,13.61,931178.67,4334317.33,13256,432730,63.83,132,129.17,391.17,14906.17,55454,40.5,44.83,0.23
0.73,15.89,7.552,39029.76,225.952,1.17,270.95,15.62,923212,4353362.67,8782,310203.33,51.17,151.83,28444.67,651.17,18854,51383.83,24,56.33,0.23
1,1.57,8.358,28542.976,387.893,0.84,431.436,14.45,856094.67,3270113.33,13886.67,363252,27.67,176.83,51.33,322.5,3208,5578,43.67,42.67,0.23
1,1.884,3.456,23519.232,365.463,0.73,428.733,13.8,838662.67,3296577.33,13442.67,433079.33,57.5,186.83,102.5,313.33,3367.67,6544,34.17,51.17,0.23
0.96,2.138,5.952,22456.32,370.132,0.77,403.183,14.81,883956,3523759.33,13717.33,434426.67,54.83,218.5,85.67,353.17,3759,7239,34.33,52,0.23
1.11,2.211,3.861,17397.76,386.062,0.84,509.648,10.72,697344,5023612.67,25582.67,646166.67,8,55.83,17.5,184.67,3484.67,7485.5,48.83,36,0.22
0.98,2.263,4.12,25951.232,346.131,0.89,432.167,13.63,697344,3726904,26806.67,645685.33,13.33,55.67,22.17,226,3438.67,6738.5,41.33,43.17,0.22
0.96,1.873,7.236,25050.112,365.251,0.85,393.557,14.66,697344,4499636,27484,645702.67,10,55.67,18.83,196,3551.5,6909.5,40.5,44.33,0.22
0.92,2.003,9.738,36039.68,367.469,0.8,391.208,16.16,917034.67,4459643.33,11916,415418.67,54.67,79.67,66.5,231.33,3372.33,6713.83,35.5,49,0.22
0.99,2.394,19.55,7549.952,348.142,0.83,382.037,12.61,1216454.67,2194060,13033.33,434791.33,58.33,128066.17,141.17,128229.33,5490.33,8362.33,31.5,53.33,0.22
0.77,17.591,5.299,29615.104,249.842,1.14,302.437,15.5,984684,3174036.67,3306.67,358987.33,1060,86.67,15907.83,225,24890.17,61518.67,19.83,64.83,0.22
0.97,1.945,3.824,33276.928,314.651,0.99,378.514,13.2,894354.67,2873387.33,11902,424106,31.67,713.5,93.33,893.83,4430.17,7010.17,49.5,35.83,0.22
1.46,2.028,5.745,7577.6,389.224,0.58,723.104,5.71,1043767.33,5166020.67,9809.33,389426,430.17,18191.83,528.17,18544.17,4154.33,7205.5,54.17,31.17,0.22
1.28,1.623,4.578,25839.616,421,0.74,597.118,8.22,932326.67,4630463.33,10421.33,415499.33,119.67,124.67,271.33,265.17,3253.67,5594,56.5,29,0.22
1.04,1.455,4.33,36960.256,287.888,1.03,458.048,10.76,922052,2805006.67,12080,422456,58.17,125.83,83,384.83,2830.83,5310,55,30.67,0.22
1.37,1.703,2.79,3926.016,436.795,0.71,715.182,7.17,948468,5143459.33,9454.67,373813.33,88.83,135.83,201.5,251.83,3337.5,6049.17,58.33,27,0.22
1.12,2.201,5.2,27189.248,321.331,0.82,596.07,9.43,872376,3209630,12670.67,460740.67,67.83,155,89.83,284.33,4172,7781.5,45.17,40.5,0.22
1.21,1.999,3.788,25979.904,404.329,0.73,566.455,9.26,863601.33,4081108,20512,1021063.33,227.5,160.83,718.83,295.17,3503,6770.17,52,33.67,0.22
0.79,10.832,6.368,12942.336,187.845,1.25,236.631,14.57,860346,3546666.67,8153.33,359113.33,80.5,169.33,117,351,14564.67,38207.17,34.67,51.17,0.22
0.82,17.148,7.118,29239.296,269.746,1.16,328.558,15.37,860244,2060359.33,9960,361995.33,91.83,169,115.67,316,20000.67,57599.17,32.17,53.33,0.22
1.12,2.141,9.986,17346.56,417.235,0.59,519.803,10.89,976567.33,6110293.33,9533.33,402364.67,191.67,22022.83,343.5,22156.67,4703.5,7715.33,29.67,55.33,0.22
1.23,1.969,7.742,16721.92,318.728,0.65,621.046,8.13,886048.67,3205624,12621.33,425829.33,317.67,179.5,658.17,360.67,3697.5,6613.5,37.67,47.5,0.22
0.97,2.069,6.111,42301.44,347.377,0.67,475.655,12.99,883010,3344058,13334.67,428750.67,79.67,180.67,184.17,324.5,4096.83,7563.83,26.67,58.17,0.22
1.11,1.621,4.067,18508.8,334.166,0.77,572.056,9.98,839319.33,2604442.67,12574.67,431512,98.17,187,129.83,332.83,2888.83,5368.67,40.5,45.17,0.22
0.97,1.98,2.998,40499.2,346.795,0.89,387.34,14.03,869829.33,3927350.67,12977.33,396456,49.67,191.83,83.83,313.67,3512.5,6545.33,45.5,41,0.22
1.28,2.138,4.446,5224.448,423.931,0.69,677.842,8.06,963568,5591092,9554.67,434440.67,195.67,194.33,284.83,310.83,3404,6958.67,54,32.17,0.22
0.72,17.089,6.036,21679.104,214.915,1.3,265.402,15.46,718588,696282.67,25205.33,549030.67,72,6465.5,500.5,6624.5,24563.5,59465.5,20.5,62.67,0.21
1.14,2.177,6.788,23220.224,443.49,0.52,537.042,11.17,933665.33,5733240,9556,391446,267,58.83,406.33,159,3937.83,7591.17,25.33,57.5,0.21
1.27,2.052,5.329,24200.192,340.948,0.75,671.917,7.28,920430.67,3375084,12005.33,415793.33,34.17,117.17,68.67,241,3409.5,7077.17,54.67,30.83,0.21
0.71,2.886,4.698,1585.152,239.657,1.34,281.811,13.94,1034184,6416167.33,7556,340512,13317.5,153.67,32947.33,293.5,7146.5,12681.17,54.67,30.5,0.21
0.87,3.041,15.585,10523.648,278.718,1.14,329.16,10.75,1604260.67,103586,4070,239118.67,3629,150760.83,48637.83,151182.67,12215.33,10099.83,19,65.5,0.21
1.17,1.848,2.456,20349.952,393.093,0.8,526.95,9.7,947998.67,5126438.67,9947.33,374573.33,302.17,135.83,729.33,305.67,3319.67,6758.17,53.83,31.83,0.21
1.16,2.278,8.03,30835.712,388.205,0.6,592.286,9.45,1292828.67,4361346,11734.67,425111.33,88,50424,437.67,50557.17,4420.67,7886.83,29.33,55.5,0.21
1.13,2.029,5.116,20395.008,389.754,0.79,512.23,10.2,967437.33,6108482,9246,421490,1471.17,153.83,3150.17,310.5,4231,7504.83,41.67,43.67,0.21
0.92,2.275,13.603,22640.64,361.525,0.64,378.354,13.05,1568661.33,2081470,13744,426540.67,57,171629.5,81.33,171732,5378.33,7586.67,20,65,0.21
1.34,2.284,4.414,3449.856,446.774,0.56,761.93,7.31,898078.67,5068652,10203.33,384525.33,348.83,186.17,638.67,344,3887,7711.5,42.5,43.33,0.21
1,1.502,3.956,34916.352,397.912,0.79,433.277,14.75,866078,4185360,13264,396082.67,55,191.83,81.17,293.67,2906,5173.83,42.5,43.5,0.21
1.11,2.197,4.073,17112.064,356.852,0.89,559.597,10.56,896889.33,4525119.33,11112,453291.33,102.17,199.5,167.33,381.5,4238.33,7783.33,43.17,42.83,0.21
0.91,2.428,3.373,37911.552,380.375,0.74,392.605,15.9,856665.33,4295769.33,9905.33,433122,73.5,212.83,102.83,379.33,3848.83,8350.17,31.17,55,0.21
1.15,2.141,3.949,13237.248,503.305,0.72,586.431,10.88,708656,5687731.33,24988.67,645143.33,10.67,54.83,42.17,192.5,3505.67,7591.67,48.83,34.83,0.2
1.13,1.782,4.706,22333.44,412.429,0.57,565.244,10.47,910884,4735832.67,10578.67,413340.67,29,59.5,71,202.5,3429.17,6450.33,30.83,52.33,0.2
0.9,2.243,7.952,36092.928,363.401,0.63,375.137,15.96,905468,3855385.33,13108.67,422162.67,99,59.83,109,190.83,4840.33,7918.5,22.83,60.5,0.2
0.9,1.872,4.452,37852.16,366.308,0.74,370.324,16.78,902293.33,4299355.33,13171.33,398388.67,36,67.67,47,235.33,3519.83,6691.17,30.5,53.67,0.2
0.95,1.887,4.789,29847.552,378.453,0.82,411.82,14.99,915884,3592174.67,13140,419914.67,20.67,80.83,44.5,211.17,3627.67,6831.5,37,47.83,0.2
0.96,2.31,3.533,24827.904,374.193,0.85,406.901,15.05,905022.67,4107123.33,12631.33,433770,102.33,85,327,274,4105,7905.67,38.5,46.5,0.2
1.66,2.025,1.915,570.157,468.638,0.4,1026.048,4.49,943474.67,4419549.33,10612,427683.33,94.67,100.67,166,233.67,3811.5,6928.5,57.33,27.67,0.2
1.28,1.561,6.229,16470.016,394.643,0.94,632.46,7.08,961668,4971110.67,10309.33,411501.33,1092.5,131.5,2103,406.67,2749.83,5538.67,64,21.67,0.2
1.01,2.117,3.706,33130.496,331.031,0.97,442.979,12.65,928612,3950031.33,11493.33,400894.67,48.67,137,90,280.83,4095.5,7239.5,47.83,37.83,0.2
1.11,2.033,13.235,20659.2,390.043,0.53,359.972,12.5,1039876.67,5766999.33,9701.33,391330.67,165.33,67884.33,438.67,68006.83,4621,6945.5,28.17,57.17,0.2
0.99,18.411,3.913,16251.904,270.759,0.95,448.62,9.68,888737.33,5111050.67,19149.33,1011838,394.83,158.33,605.67,300.17,23602.5,60740,32.67,51,0.2
1.19,1.693,2.66,18445.312,367,0.89,620.863,8.99,864710.67,3941665.33,6794,356991.33,91.83,166.67,157.83,363.17,3211,6114.67,54.33,31.67,0.2
0.97,2.271,9.194,25743.36,367.083,0.86,401.801,14.54,872918.67,4570969.33,12991.33,454475.33,70.17,200.83,98.33,359.33,3960.33,7575.17,41.33,45,0.2
0.76,2.155,5.079,664.44,313.297,0.82,315.132,16.52,936209.33,6312012.67,4338.67,388874,235.5,239.33,373,405.17,4327.33,7918.33,41.5,43.83,0.2
0.9,1.676,5.783,42876.928,377.277,0.74,379.424,16.96,857049.33,4445632,9554.67,432363.33,50.83,212.83,232.83,399.5,3298.83,6280.67,29.5,55.83,0.2
0.87,2.398,25.225,10113.024,268.712,1.17,293.07,12.41,1071479.33,190291.33,2884.67,213187.33,1533.5,73261.83,40809.17,73429.17,6674.83,8236.5,15.17,70.5,0.2
0.81,1.974,5.498,684.97,363.96,0.96,389.642,15.19,708485.33,5807242,24601.33,645804,16,105.67,43.5,233.83,3530.67,6809.33,50.67,33.5,0.19
0.89,2.454,14.958,24642.56,308.246,1.17,335.789,14.03,795920,793750.67,2278,289334,328.33,18754,28085.5,18914.33,5311.33,9222.67,29.5,54.17,0.19
1.24,19.244,5.308,10112,327.668,0.53,627.947,5.96,911652,4830926.67,10087.33,403705.33,61,59.5,186.33,198.5,25058.83,61674.83,24.17,56.83,0.19
1.15,1.664,4.535,17047.552,438.797,0.58,508.522,10.94,985985.33,6151202.67,9549.33,354961.33,573.33,64.67,1188.5,261.67,3197.17,5881.17,34.83,49,0.19
0.93,1.993,9.365,29887.488,368.736,0.82,391.183,15.2,916378.67,4634932.67,12573.33,417461.33,104.67,79.5,144.5,227.17,3613.83,6603.17,35.67,48.67,0.19
0.96,2.548,5.245,30966.784,356.247,0.88,432.136,14.11,967748,4455865.33,11789.33,432650,31.67,83.67,264.5,224.67,4641,8916.33,38.83,46.17,0.19
1.21,1.862,3.871,15875.072,306.637,1.04,594.362,8.02,894580,3657246.67,11440,445323.33,141.83,91.17,236.17,271.5,3567.33,6723.67,59.83,25.17,0.19
1.05,1.747,3.408,22369.28,319.072,1.06,458.07,11.21,893266.67,3108722,12286.67,446580,36.5,91,94.17,260,2982.83,5964.5,56.33,28.83,0.19
0.95,1.45,2.582,49690.624,343.234,0.97,387.999,14.52,892910.67,4246058,12521.33,445874.67,26.33,90.83,40.17,210,2270.5,5103.67,54.17,31.17,0.19
1.01,1.587,3.369,40252.416,304.57,1.08,429.077,11.82,958894.67,3896064,12396.67,428032.67,71.83,131.33,90.5,649.17,3241.5,6007.67,57.17,28.5,0.19
0.87,2.834,14.875,7444.48,252.535,1.44,300.404,11.81,1024699.33,169454.67,4840,247989.33,13620,59988,49933.5,60127.83,7586.33,9126.17,29.67,55.67,0.19
1.22,1.566,3.581,18894.848,360.235,0.87,659.226,8.24,859009.33,2825446,21274.67,1020025.33,35.5,162,58.67,289.83,2968.33,5788,54.5,31.33,0.19
0.62,17.746,4.415,1036.288,184.125,1.48,228.311,16.26,859127.33,6300823.33,10278.67,361974,75.17,190.33,99,292,26995.83,58729.17,31.67,54.5,0.19
1.14,2.006,5.331,19873.792,396.377,0.8,527.908,10.64,956654.67,5230158.67,10170.67,451902,190.33,194.33,229.5,330.17,3756.17,6742.17,49,37.5,0.19
1.17,2.093,3.953,12136.448,356.361,0.86,558.819,9.68,955929.33,4539414.67,10525.33,459808.67,143.67,194.17,372.83,342.67,3845.67,7231.33,49.83,36.17,0.19
0.84,2.394,6.785,41945.088,322.867,0.69,318.317,17.77,833978,4448966,12872,444460.67,45.83,209.17,126.17,296.33,4319.17,8366.33,23.5,61.5,0.19
1.27,2.852,6.194,1220.608,403.614,0.73,662.141,7.91,939736,5552012.67,4930.67,389265.33,7937.5,222,9585.67,379.83,5904.5,10529.17,46.5,40.17,0.19
0.98,2.011,7.237,14205.952,333.415,0.89,372.945,14.39,701781.33,1290282.67,28157.33,623330.67,20,1836.17,139.5,2006.5,3820.17,6428.33,39.17,45.17,0.18
1.33,2.249,6.871,5975.04,463.997,0.47,763.143,7.5,932001.33,5100596.67,9836,390911.33,633.67,58.67,858.17,145.67,4119.5,7960.33,32.17,50.5,0.18
1.12,1.876,6.327,8753.152,311.462,0.86,503.024,9.95,927945.33,4390830.67,10736.67,407178,45.33,75.83,115.17,222.17,3114.83,6209.17,41.33,43.17,0.18
1.34,2.245,3.745,27941.888,525.189,0.41,499.17,9.6,978356,5705788.67,9901.33,416307.33,156,27694.67,1371,27959.17,4580,7626,44,40.67,0.18
1.25,1.831,4.83,16912.384,332.379,0.65,578.587,7.48,1079284,3275554,12269.33,444191.33,81.33,86945,95.67,87122.83,4179.33,6518.5,41,43.83,0.18
1.17,1.651,8.704,34044.928,301.741,0.92,666.228,8.01,917451.33,1964395.33,13125.33,418396.67,32.83,119.83,48.5,441.67,3120.17,5777.33,51.67,33.67,0.18
1.28,2.177,5.372,19204.096,377.644,0.86,599.773,7.14,933265.33,5000842,9929.33,407968,444.83,124.67,1267.5,362.5,4245.83,8014.17,55.33,30.33,0.18
1.15,2.185,8.886,16512,371.839,0.69,504.322,9.76,1021236.67,5693731.33,9732,436798.67,129.83,42927.83,192.5,43358.33,4926.17,7505.83,39.33,46.33,0.18
1.16,1.429,4.996,29976.576,324.724,1.03,596.396,9.12,858790.67,2696906.67,21565.33,1020342.67,56.17,162,118,487,3011.83,5237.83,57.33,28.33,0.18
0.99,2.1,4.289,17257.472,364.328,0.76,409.461,13.8,838367.33,2827033.33,13734.67,433762.67,48.83,186.83,79.17,318,3937,7709.67,36,49.83,0.18
1.11,1.962,5.87,20537.344,423.397,0.55,507.767,11.45,940541.33,6122548.67,9436.67,406577.33,725.33,206,1644.83,384.5,3623.67,6965.33,27.33,57.67,0.18
1.23,2.179,3.289,7313.408,439.629,0.72,609.121,9.53,937773.33,5233745.33,5221.33,394190.67,123.5,221.83,386.33,372.5,4036.17,7574.83,47.33,39.5,0.18
