ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r,b,交换,空闲,缓冲,缓存,si,so,bi,bo,in,cs,us,sy,id,wa,st,min,max,avg,samples/s
1.32,2.217,6.235,7439.36,357.974,0.57,602.21,6.67,4.67,0.0,1040657.33,5100548.0,10317.33,426476.67,70.0,70231.83,125.67,70376.17,4754.67,7523.83,44.17,40.17,15.17,0.17,0.0,0,3,0.23,97
1.66,2.025,1.915,570.157,468.638,0.4,1026.048,4.49,6.17,0.0,943474.67,4419549.33,10612.0,427683.33,94.67,100.67,166.0,233.67,3811.5,6928.5,57.33,27.67,14.67,0.0,0.0,0,1,0.2,97
1.21,2.076,4.913,25860.096,358.435,0.58,554.202,7.72,4.83,0.17,1520104.67,4591795.33,10978.67,440972.0,937.33,75668.67,1015.17,75841.17,3779.33,7175.83,34.33,50.0,15.17,0.5,0.0,0,3,0.26,95
1.5,2.085,3.498,19830.784,470.662,0.45,873.738,5.4,5.17,0.0,917669.33,3860774.0,11448.0,441344.0,156.67,101.83,491.5,231.5,3859.33,7051.33,48.17,36.67,15.0,0.0,0.0,0,1,0.1,97
1.3,2.231,2.822,36798.464,393.588,0.5,615.689,7.89,5.0,0.0,916944.0,4119215.33,11859.33,444724.0,162.67,101.83,179.67,463.5,4239.83,7791.17,43.5,41.83,14.83,0.0,0.0,0,1,0.16,98
1.25,1.831,4.83,16912.384,332.379,0.65,578.587,7.48,4.83,0.0,1079284.0,3275554.0,12269.33,444191.33,81.33,86945.0,95.67,87122.83,4179.33,6518.5,41.0,43.83,15.0,0.0,0.0,0,1,0.18,97
1.25,2.032,3.285,17515.52,367.259,0.58,633.616,7.57,4.5,0.0,1428494.0,2776058.67,12721.33,441888.67,35.33,78408.17,54.33,78661.17,4139.0,6745.5,38.83,46.0,15.0,0.0,0.0,0,1,0.31,95
1.09,19.11,5.538,23996.416,289.174,0.78,529.298,7.33,4.83,0.0,1546845.33,2337052.0,13053.33,446368.0,75.33,108206.0,308.83,108353.67,8951.67,61503.83,31.33,51.5,17.5,0.0,0.0,0,1,0.1,98
1.21,25.931,3.498,32075.776,279.733,0.78,738.131,6.32,4.67,0.0,905735.33,1624562.0,13450.67,446928.67,42.67,106.0,57.0,250.5,6645.33,84380.5,46.67,37.0,16.33,0.0,0.0,0,6,0.15,97
1.1,23.342,2.956,39514.112,242.753,0.89,652.28,7.15,4.83,0.0,905900.0,1617836.0,13809.33,446304.67,55.33,107.17,139.67,347.0,8544.67,70774.5,42.5,40.33,16.83,0.0,0.0,0,1,0.26,98
0.83,21.772,5.996,56990.72,270.018,0.78,329.866,14.95,6.67,0.0,941522.67,3214310.0,14043.33,420651.33,8414.67,108.83,8452.33,266.5,7851.17,66301.33,32.33,51.17,16.0,0.33,0.0,0,2,0.27,97
0.84,3.425,18.334,6629.376,238.993,1.53,275.612,11.83,6.67,1.0,1712802.0,126344.67,5379.33,310448.67,35786.17,108012.67,64434.5,108178.33,10771.17,10444.67,13.17,67.17,15.17,4.33,0.0,0,21,0.9,90
0.8,2.86,15.404,10158.08,274.895,1.02,306.669,12.4,8.5,0.33,1705824.0,102011.33,4314.67,258584.67,1734.67,150312.0,36397.33,150493.67,16136.5,8977.0,9.17,73.67,15.33,1.67,0.0,0,34,0.66,93
0.68,1.462,4.994,778.017,234.573,1.09,263.99,14.56,6.83,0.0,1038288.67,6483863.33,6213.33,339372.67,687.5,154.33,18992.17,302.17,3434.5,5683.33,62.5,22.67,14.67,0.17,0.0,0,9,0.27,97
1.17,1.934,5.621,22284.288,371.146,0.76,511.444,8.82,5.67,0.0,964889.33,6173416.0,8890.67,378239.33,276.17,21958.67,914.33,22147.67,4439.17,6821.17,49.33,35.83,15.0,0.0,0.0,0,9,0.38,95
1.31,2.501,5.372,29146.112,477.243,0.55,545.563,8.97,6.17,0.0,960673.33,5718680.67,9334.67,382514.67,142.17,114.17,196.0,242.5,4331.0,8437.17,51.5,33.83,15.0,0.0,0.0,0,1,0.13,97
1.46,2.028,5.745,7577.6,389.224,0.58,723.104,5.71,6.67,0.0,1043767.33,5166020.67,9809.33,389426.0,430.17,18191.83,528.17,18544.17,4154.33,7205.5,54.17,31.17,14.67,0.0,0.0,0,4,0.22,95
1.48,2.08,7.12,10255.36,452.416,0.66,865.751,5.46,6.17,0.17,947794.67,4696672.0,10096.0,389651.33,73.5,116.0,116.67,224.33,3376.67,6920.0,60.17,25.33,14.67,0.0,0.0,0,5,0.25,95
1.39,2.096,5.244,19069.952,435.796,0.58,756.811,6.29,6.33,0.33,946386.67,4470541.33,10798.0,411592.0,1367.5,115.83,2621.33,383.67,4037.83,7513.33,54.5,30.5,15.0,0.0,0.0,0,1,0.08,97
1.28,1.886,4.784,31196.16,430.552,0.64,624.001,8.27,5.83,0.17,945746.67,4512968.67,11162.67,414156.67,50.17,115.83,97.33,232.33,3619.0,6819.5,49.83,35.67,14.83,0.0,0.0,0,1,0.09,96
1.12,1.905,8.261,13090.816,279.639,0.8,452.638,8.12,6.67,0.0,1697386.0,3231705.33,11556.67,415952.0,178.83,102575.83,239.33,102745.67,4267.83,6566.5,41.0,44.5,14.83,0.0,0.0,0,5,0.37,92
1.27,2.052,5.329,24200.192,340.948,0.75,671.917,7.28,6.83,0.17,920430.67,3375084.0,12005.33,415793.33,34.17,117.17,68.67,241.0,3409.5,7077.17,54.67,30.83,14.67,0.0,0.0,0,2,0.21,97
1.3,2.219,8.74,18467.84,324.546,0.78,706.048,6.76,6.17,0.0,918480.67,2935840.0,12409.33,417442.67,70.83,118.5,170.67,407.67,3755.17,7637.83,55.67,29.67,15.0,0.0,0.0,0,1,0.11,98
1.23,1.262,7.944,33349.632,298.51,0.86,717.842,7.13,5.67,0.0,918092.0,2336448.0,12818.67,417312.67,28.17,118.5,57.33,261.67,2467.17,4452.33,55.0,30.33,14.5,0.0,0.0,0,1,0.13,93
1.17,1.651,8.704,34044.928,301.741,0.92,666.228,8.01,5.5,0.0,917451.33,1964395.33,13125.33,418396.67,32.83,119.83,48.5,441.67,3120.17,5777.33,51.67,33.67,14.67,0.17,0.0,0,4,0.18,93
1.0,1.847,8.28,53179.392,314.646,0.86,458.735,12.01,5.67,0.0,916944.67,2997613.33,13514.67,423626.67,54.17,119.83,69.83,296.17,3283.67,6538.33,46.83,38.5,14.83,0.17,0.0,0,2,0.15,97
0.92,3.102,11.377,19121.152,252.17,1.25,303.017,12.03,7.5,0.67,1095706.0,1702222.67,2116.0,281824.67,32306.83,43283.17,73755.0,43841.0,7649.5,11319.0,28.83,56.0,14.67,0.67,0.0,0,27,1.32,84
0.91,4.093,11.057,30261.248,276.804,1.1,324.891,13.15,7.33,0.33,1288592.0,1624440.67,7338.0,298744.0,33431.83,57083.5,68329.67,57387.33,8578.67,15469.83,27.83,54.33,15.0,3.0,0.0,0,7,0.3,96
0.82,2.706,18.988,9110.528,256.107,1.05,296.477,10.86,9.33,0.83,1613062.0,104582.0,5110.0,258499.33,8180.17,144658.67,45522.33,144829.83,12450.33,9451.83,16.67,67.83,14.67,0.83,0.0,0,36,1.09,87
0.71,2.886,4.698,1585.152,239.657,1.34,281.811,13.94,7.33,0.5,1034184.0,6416167.33,7556.0,340512.0,13317.5,153.67,32947.33,293.5,7146.5,12681.17,54.67,30.5,14.5,0.33,0.0,0,2,0.21,98
1.13,1.784,4.283,17312.768,353.309,0.95,506.461,8.97,6.5,0.17,1030301.33,6142085.33,8600.0,379883.33,215.0,123.67,931.5,266.17,3162.0,6128.0,60.0,25.5,14.5,0.0,0.0,0,1,0.24,97
1.17,1.967,7.615,17436.672,361.581,0.79,451.604,9.68,7.5,0.17,1101208.0,5698833.33,8866.67,392052.0,116.33,61541.0,224.17,61683.5,4705.0,7212.17,49.0,36.0,14.67,0.17,0.0,0,1,0.14,98
1.44,1.286,4.954,1184.768,434.869,0.72,839.653,5.65,8.67,0.17,938273.33,5008433.33,9454.67,402554.67,283.67,124.0,442.83,405.83,2794.0,4566.17,65.17,20.5,14.5,0.0,0.0,0,1,0.13,97
1.28,2.177,5.372,19204.096,377.644,0.86,599.773,7.14,7.33,0.0,933265.33,5000842.0,9929.33,407968.0,444.83,124.67,1267.5,362.5,4245.83,8014.17,55.33,30.33,14.67,0.0,0.0,0,1,0.18,97
1.28,1.623,4.578,25839.616,421.0,0.74,597.118,8.22,7.0,0.17,932326.67,4630463.33,10421.33,415499.33,119.67,124.67,271.33,265.17,3253.67,5594.0,56.5,29.0,14.5,0.0,0.0,0,4,0.22,96
1.23,2.082,4.327,25177.088,368.092,0.79,566.177,8.26,6.67,0.0,931900.0,4434351.33,10772.0,421640.0,32.17,124.5,94.83,306.33,4222.0,7565.83,56.0,29.67,14.5,0.0,0.0,0,5,0.28,97
1.26,1.867,3.993,23386.112,334.479,0.87,630.366,7.56,7.33,0.0,931686.67,3935023.33,11077.33,419826.67,31.5,124.5,48.83,277.0,3543.17,6262.17,58.17,27.17,14.67,0.0,0.0,0,1,0.07,97
1.26,1.554,3.995,19927.04,334.319,0.91,683.057,7.49,6.83,0.0,931644.0,3077402.0,11324.0,420230.0,45.5,124.5,113.67,222.33,3058.5,5558.33,58.33,27.0,14.5,0.0,0.0,0,1,0.15,97
1.09,17.475,3.205,11754.496,241.209,1.23,547.857,8.11,6.83,0.0,931046.67,2304922.67,11662.67,420324.0,58.17,124.33,75.33,490.17,14724.83,55316.17,46.5,37.5,16.17,0.0,0.0,0,1,0.06,99
1.04,1.455,4.33,36960.256,287.888,1.03,458.048,10.76,6.5,0.0,922052.0,2805006.67,12080.0,422456.0,58.17,125.83,83.0,384.83,2830.83,5310.0,55.0,30.67,14.5,0.0,0.0,0,1,0.22,96
0.97,1.835,7.37,51392.512,327.551,0.86,416.227,13.05,7.33,0.0,921757.33,3558407.33,12337.33,422912.67,26.17,127.17,64.67,377.67,3213.5,6409.67,44.67,40.67,14.67,0.0,0.0,0,1,0.29,95
0.95,2.193,7.953,49260.544,304.879,1.0,370.349,14.12,6.83,0.0,921472.67,3811550.0,12682.67,425666.67,48.83,127.0,78.0,382.83,4190.83,7564.33,49.67,35.67,14.67,0.17,0.0,0,1,0.15,96
0.94,1.947,6.829,48701.44,310.745,0.93,357.676,14.51,7.5,0.0,921249.33,3807694.0,12989.33,425639.33,42.83,127.0,92.67,257.5,3163.33,6862.5,51.17,34.17,14.67,0.17,0.0,0,4,0.27,97
0.76,3.437,30.069,7782.4,195.995,1.55,248.983,10.46,14.0,1.17,1168137.33,104784.0,3714.67,235792.0,10036.17,87954.33,49237.83,88112.17,10993.67,12748.67,15.83,68.5,14.5,0.83,0.0,0,49,1.7,83
0.87,3.041,15.585,10523.648,278.718,1.14,329.16,10.75,11.0,0.33,1604260.67,103586.0,4070.0,239118.67,3629.0,150760.83,48637.83,151182.67,12215.33,10099.83,19.0,65.5,14.67,1.0,0.0,0,7,0.21,96
0.8,2.229,3.618,787.108,284.655,1.22,327.802,13.73,9.0,0.0,1027597.33,6454910.0,5914.67,347895.33,720.5,168.0,18324.33,287.17,4469.83,8160.17,64.5,21.0,14.5,0.17,0.0,0,20,0.34,95
1.08,2.349,15.713,10496.0,293.943,0.98,402.529,9.53,8.0,0.17,1044127.33,6087550.67,8974.67,387360.67,793.83,62786.67,1981.33,62961.83,6212.0,8230.83,47.0,38.0,14.67,0.33,0.0,0,6,0.44,94
1.18,26.29,3.161,18104.32,390.926,0.85,586.037,8.74,7.83,0.0,967201.33,5671648.0,9586.67,395037.33,356.5,131.0,398.67,252.17,6668.67,83356.33,52.0,32.33,15.5,0.0,0.0,0,2,0.14,97
1.15,2.083,9.896,7972.864,302.068,0.93,427.996,8.61,9.0,0.0,1335515.33,5242568.0,9974.0,403320.0,615.83,77651.17,972.83,77818.33,4694.33,6857.5,50.67,34.83,14.5,0.0,0.0,0,2,0.24,96
1.28,1.561,6.229,16470.016,394.643,0.94,632.46,7.08,7.83,0.0,961668.0,4971110.67,10309.33,411501.33,1092.5,131.5,2103.0,406.67,2749.83,5538.67,64.0,21.67,14.5,0.0,0.0,0,2,0.2,96
1.18,2.579,4.277,24159.232,353.272,0.87,511.64,9.18,9.0,0.0,960729.33,4682512.67,10910.67,420847.33,1505.17,131.5,1915.5,276.0,4936.67,8756.67,57.0,28.67,14.33,0.0,0.0,0,3,0.25,97
1.23,1.484,3.913,19963.904,351.206,0.92,611.051,7.95,8.17,0.0,959705.33,4277019.33,11210.0,424182.67,78.5,131.5,98.0,353.33,3006.83,5247.83,60.0,25.5,14.33,0.0,0.0,0,2,0.4,93
1.23,1.72,3.448,16169.984,308.713,1.06,625.268,7.58,8.83,0.0,959193.33,3497530.67,11552.0,426529.33,47.17,131.33,125.17,417.17,3195.17,5979.83,60.5,25.17,14.33,0.0,0.0,0,1,0.23,96
1.04,1.874,3.908,32660.48,294.084,1.1,453.248,10.78,7.83,0.0,959108.0,3915440.67,12013.33,424126.67,45.17,131.33,97.17,323.17,3418.5,6590.33,56.33,29.17,14.33,0.0,0.0,0,8,0.38,96
1.01,1.587,3.369,40252.416,304.57,1.08,429.077,11.82,8.83,0.17,958894.67,3896064.0,12396.67,428032.67,71.83,131.33,90.5,649.17,3241.5,6007.67,57.17,28.5,14.33,0.0,0.0,0,2,0.19,97
0.79,12.25,3.577,37990.4,225.861,1.26,274.365,15.97,7.83,0.0,957956.0,4755056.67,12650.67,428410.0,59.83,131.17,95.67,281.67,17321.17,42369.33,38.5,46.5,14.83,0.0,0.0,0,3,0.24,97
0.9,18.625,3.993,33961.984,289.164,1.09,345.557,13.99,7.83,0.0,931434.67,4008266.0,12882.67,429363.33,35.17,132.0,113.17,271.17,13055.67,53044.67,40.17,45.17,14.5,0.0,0.0,0,1,0.13,97
0.89,15.978,5.243,28158.976,283.027,1.1,350.742,13.61,7.83,0.0,931178.67,4334317.33,13256.0,432730.0,63.83,132.0,129.17,391.17,14906.17,55454.0,40.5,44.83,14.5,0.0,0.0,0,2,0.23,97
0.89,9.302,14.45,12880.896,275.612,1.46,353.287,11.18,10.67,0.5,968155.33,785218.67,5798.0,253097.33,440.5,14735.17,28239.17,14890.5,10797.33,31709.83,33.83,50.5,14.83,0.17,0.0,0,1,0.17,98
0.89,7.137,21.572,17718.272,265.849,2.48,327.766,10.4,11.17,0.5,1052602.0,369913.33,4084.0,250355.33,1104.5,41330.67,47233.5,41655.17,8185.5,27642.5,28.5,55.83,14.5,0.83,0.0,0,4,0.12,97
0.91,2.376,14.627,8076.288,270.282,1.23,313.461,11.26,9.67,3.5,1171800.0,128591.33,2681.33,191448.67,1015.5,73570.67,34275.0,73963.33,8076.5,8098.5,32.0,52.67,14.33,0.83,0.0,0,30,1.24,84
0.75,3.425,7.773,1967.104,234.892,1.29,272.535,14.63,9.83,0.5,1057136.0,6457962.0,6292.67,319299.33,14029.33,162.83,32196.5,290.0,7672.0,13438.17,50.33,34.67,14.5,0.5,0.0,0,4,0.25,97
1.19,2.172,6.155,14451.712,375.605,0.83,492.649,9.33,9.83,0.17,979713.33,6174662.67,8397.33,354076.0,216.83,21980.17,660.33,22326.67,4879.33,7543.0,53.5,32.0,14.33,0.0,0.0,0,2,0.11,97
1.28,2.413,8.727,698.878,372.077,0.82,620.657,7.47,9.83,0.0,976015.33,5566478.67,8982.67,365048.67,116.83,7531.17,163.33,7665.0,4873.0,8506.0,58.17,27.5,14.33,0.0,0.0,0,2,0.12,98
1.37,1.703,2.79,3926.016,436.795,0.71,715.182,7.17,9.0,0.0,948468.0,5143459.33,9454.67,373813.33,88.83,135.83,201.5,251.83,3337.5,6049.17,58.33,27.0,14.33,0.0,0.0,0,1,0.22,93
1.17,1.848,2.456,20349.952,393.093,0.8,526.95,9.7,8.33,0.17,947998.67,5126438.67,9947.33,374573.33,302.17,135.83,729.33,305.67,3319.67,6758.17,53.83,31.83,14.33,0.0,0.0,0,4,0.21,97
1.17,2.092,5.745,17654.784,320.811,0.95,465.912,9.67,8.83,0.17,946932.0,5015876.67,10344.0,390307.33,1300.83,135.83,3045.0,419.0,4079.67,7292.33,51.67,34.0,14.33,0.0,0.0,0,4,0.28,95
0.99,15.695,5.701,9393.152,203.151,1.36,471.269,8.06,8.5,0.0,945737.33,3614524.67,10809.33,400202.67,68.83,135.67,413.17,260.33,23701.17,55862.33,35.0,50.17,14.83,0.0,0.0,0,1,0.12,98
1.1,2.503,4.747,15232.0,306.119,1.05,504.287,10.1,8.5,0.0,928903.33,3652418.0,11105.33,398676.67,70.83,137.0,90.67,523.67,4311.5,8664.67,55.33,30.33,14.33,0.0,0.0,0,3,0.29,94
1.01,2.117,3.706,33130.496,331.031,0.97,442.979,12.65,9.17,0.5,928612.0,3950031.33,11493.33,400894.67,48.67,137.0,90.0,280.83,4095.5,7239.5,47.83,37.83,14.33,0.0,0.0,0,2,0.2,96
0.8,17.398,4.03,32159.744,243.21,1.25,295.054,15.9,8.17,0.0,928212.67,4093774.67,11885.33,402310.67,53.33,136.83,80.67,656.17,20502.33,55825.33,35.67,49.83,14.5,0.0,0.0,0,1,0.09,99
0.95,1.967,3.536,46000.128,343.308,1.0,388.107,14.49,9.0,0.0,926443.33,4581348.67,12209.33,402886.0,3857.33,136.83,3925.5,306.67,4034.83,6796.67,48.5,37.33,14.33,0.0,0.0,0,1,0.11,93
0.96,2.044,1.831,37860.352,349.335,0.93,392.299,14.28,9.83,0.0,908360.0,4684242.0,12530.0,399185.33,30.67,138.0,95.83,273.33,3722.83,6944.33,47.83,38.0,14.33,0.0,0.0,0,1,0.08,98
1.01,1.692,1.789,30962.688,361.185,0.9,414.78,13.53,9.83,0.0,908360.0,4050562.0,12833.33,400182.0,38.0,138.0,57.83,276.5,3084.33,6266.33,49.67,36.17,14.33,0.0,0.0,0,1,0.1,98
0.87,2.834,14.875,7444.48,252.535,1.44,300.404,11.81,11.33,0.5,1024699.33,169454.67,4840.0,247989.33,13620.0,59988.0,49933.5,60127.83,7586.33,9126.17,29.67,55.67,14.67,0.17,0.0,0,2,0.19,96
0.89,2.569,12.996,24916.992,288.817,1.27,331.915,12.6,11.83,0.33,1036744.0,621078.67,4759.33,272959.33,1683.0,36380.67,30195.17,36526.5,5898.0,8407.67,31.17,54.67,14.5,0.33,0.0,0,10,0.35,96
0.92,2.876,6.241,30828.544,317.919,1.06,365.347,14.43,9.33,0.17,1032497.33,3319793.33,7461.33,333404.67,14070.5,141.5,35970.33,286.17,7138.33,12311.83,38.67,47.0,14.5,0.17,0.0,0,7,0.32,96
0.65,2.142,6.612,647.435,310.786,0.73,313.944,16.9,6.0,0.17,1030577.33,6314858.0,8872.67,384093.33,86.0,178.17,227.5,293.33,3851.67,7520.33,47.83,36.67,15.0,0.17,0.0,0,3,0.16,98
1.08,1.708,7.156,14838.784,357.725,0.7,426.817,11.74,6.0,0.5,1013685.33,6070118.67,9280.67,388053.33,348.0,21986.67,698.33,22132.67,3781.33,5621.5,36.5,49.0,14.83,0.0,0.0,0,2,0.28,97
1.11,2.033,13.235,20659.2,390.043,0.53,359.972,12.5,6.33,0.33,1039876.67,5766999.33,9701.33,391330.67,165.33,67884.33,438.67,68006.83,4621.0,6945.5,28.17,57.17,15.0,0.0,0.0,0,3,0.2,97
1.42,1.811,9.828,14460.928,464.871,0.44,810.921,6.73,6.0,0.0,940764.0,5089768.67,10101.33,394290.67,57.33,143.17,91.17,283.67,3557.33,6630.33,42.83,42.83,14.83,0.0,0.0,0,7,0.31,96
1.45,2.295,9.489,6008.832,436.21,0.46,813.455,6.13,5.33,0.33,939526.67,4560150.0,10731.33,402436.0,90.67,143.17,375.17,299.67,4307.83,8023.5,43.0,42.17,14.83,0.0,0.0,0,8,0.4,96
1.15,2.051,12.761,14107.648,407.256,0.54,491.718,9.79,5.83,0.0,1550065.33,4398010.0,11197.33,419700.67,707.33,150403.17,844.5,150930.5,5289.0,7601.17,25.67,59.33,14.83,0.0,0.0,0,3,0.27,96
1.16,2.278,8.03,30835.712,388.205,0.6,592.286,9.45,6.67,0.0,1292828.67,4361346.0,11734.67,425111.33,88.0,50424.0,437.67,50557.17,4420.67,7886.83,29.33,55.5,15.33,0.0,0.0,0,1,0.21,97
1.21,1.784,10.195,9723.904,336.691,0.67,568.235,8.33,6.0,0.0,1052380.0,3608073.33,12040.0,424688.0,66.67,70461.67,183.17,70745.5,4338.83,6558.0,32.83,52.0,15.17,0.0,0.0,0,1,0.05,94
1.14,2.086,7.868,14320.64,350.835,0.57,531.854,9.08,6.33,0.0,1659422.0,2834402.67,12389.33,427620.67,47.17,116130.17,89.83,116263.5,4319.33,7109.33,27.67,57.83,14.67,0.0,0.0,0,1,0.14,96
1.22,1.65,5.495,22864.896,315.319,0.65,660.616,7.95,6.17,0.17,923704.67,2412842.0,12922.67,430750.67,48.5,149.67,123.17,514.83,3295.67,5750.67,38.5,46.67,14.83,0.0,0.0,0,4,0.27,95
1.18,2.051,6.036,27563.008,306.327,0.69,678.091,8.19,5.5,0.17,923332.67,2144661.33,13339.33,429884.67,55.83,149.5,112.33,436.17,4110.17,7277.0,37.33,48.0,14.67,0.17,0.0,0,1,0.24,97
0.97,14.958,8.737,569.929,233.72,0.88,420.876,7.66,6.0,0.0,1750974.0,731154.67,13714.67,429063.33,63.17,146261.83,125.0,146439.17,19441.33,48204.83,24.17,55.33,20.17,0.0,0.0,0,6,0.31,95
0.81,16.375,5.618,36566.016,202.365,0.99,356.938,12.02,5.83,0.0,922680.0,2073462.0,13982.67,428324.67,41.83,152.0,62.33,267.17,23108.67,53983.67,23.33,57.33,19.0,0.17,0.0,0,2,0.31,98
0.73,15.89,7.552,39029.76,225.952,1.17,270.95,15.62,7.5,0.33,923212.0,4353362.67,8782.0,310203.33,51.17,151.83,28444.67,651.17,18854.0,51383.83,24.0,56.33,19.33,0.5,0.0,0,4,0.23,97
0.66,11.942,18.648,17848.32,184.614,1.77,238.917,13.16,10.17,1.17,1300081.33,1459686.0,5287.33,301622.67,16551.17,73288.5,55532.33,73469.83,15087.33,28389.17,12.67,71.33,14.33,1.67,0.0,0,8,0.43,93
0.72,11.632,16.92,10855.424,239.167,1.2,275.816,11.62,9.0,2.17,1358706.0,105788.67,4452.0,241933.33,11938.33,125424.33,54816.67,126118.33,13017.17,28208.0,11.0,73.0,14.83,1.5,0.0,0,21,0.8,88
0.7,2.104,4.91,935.158,301.079,0.86,317.725,15.87,7.5,0.17,1029490.67,6423102.0,7912.0,387214.67,2992.33,195.17,17835.17,340.33,4914.5,8408.5,51.5,33.83,14.5,0.0,0.0,0,1,0.06,98
1.13,2.029,5.116,20395.008,389.754,0.79,512.23,10.2,7.33,0.5,967437.33,6108482.0,9246.0,421490.0,1471.17,153.83,3150.17,310.5,4231.0,7504.83,41.67,43.67,14.67,0.0,0.0,0,3,0.21,97
1.15,2.185,8.886,16512.0,371.839,0.69,504.322,9.76,7.33,0.0,1021236.67,5693731.33,9732.0,436798.67,129.83,42927.83,192.5,43358.33,4926.17,7505.83,39.33,46.33,14.5,0.0,0.0,0,1,0.18,97
1.46,3.029,5.661,1477.632,403.179,0.54,784.295,5.91,7.0,0.67,939828.0,4970875.33,10334.0,440589.33,9101.17,154.17,11481.17,360.67,6424.17,10787.0,46.33,39.0,14.5,0.17,0.0,0,2,0.25,95
1.37,1.243,5.246,15832.064,468.062,0.54,765.456,7.0,7.17,0.0,897374.67,4847766.67,10832.67,448088.0,69.83,154.0,92.0,548.0,2043.67,4779.83,51.0,34.67,14.5,0.0,0.0,0,1,0.07,98
1.22,1.782,8.866,9695.232,405.439,0.61,543.095,8.88,7.17,0.17,1461664.67,4218892.67,11388.67,456669.33,296.5,85528.67,366.67,85695.33,4377.33,6904.67,37.17,48.33,14.5,0.0,0.0,0,5,0.44,95
1.2,2.323,4.287,23759.872,361.09,0.71,593.572,9.28,6.5,0.0,873144.0,4164917.33,11917.33,460775.33,63.83,155.17,86.0,483.83,4331.0,8345.0,43.67,41.5,14.83,0.0,0.0,0,1,0.14,97
